Дата         | Страна               | Добыча (1000 бар)
01.02.2012   | Nigeria              | 1905.6
01.02.2012   | United Arab Emirates | 2729.8
01.02.2012   | Venezuela            | 2855.3
01.02.2013   | Algeria              | 1284.9
01.02.2013   | Angola               | 1738.8
01.02.2013   | Congo                | 242.1
01.02.2013   | Equatorial Guinea    | 190.6
01.02.2013   | Gabon                | 366.0
01.02.2013   | IR Iran              | 3682.1
01.02.2013   | Iraq                 | 3023.5
01.02.2013   | Kuwait               | 2994.7
01.02.2013   | Libya                | 993.4
01.02.2013   | Nigeria              | 1834.4
01.02.2013   | United Arab Emirates | 2869.1
01.02.2013   | Venezuela            | 2812.0
01.02.2016   | Algeria              | 1140.2
01.02.2016   | Angola               | 1771.0
01.02.2016   | Congo                | 185.7
01.02.2016   | Equatorial Guinea    | 185.0
01.02.2016   | Gabon                | 233.2
01.02.2016   | IR Iran              | 3567.9
01.02.2016   | Iraq                 | 4628.3
01.02.2016   | Kuwait               | 2936.3
01.02.2016   | Libya                | 375.4
01.02.2016   | Nigeria              | 1487.0
01.02.2016   | United Arab Emirates | 3123.1
01.02.2016   | Venezuela            | 2397.2
01.02.2017   | Algeria              | 1011.5
01.02.2017   | Angola               | 1614.1
01.02.2017   | Congo                | 231.6
01.02.2017   | Equatorial Guinea    | 74.8
01.02.2017   | Gabon                | 104.5
01.02.2017   | IR Iran              | 3814.4
01.02.2017   | Iraq                 | 4456.6
01.02.2017   | Kuwait               | 2620.4
01.02.2017   | Libya                | 726.4
01.02.2017   | Nigeria              | 1540.7
01.02.2017   | United Arab Emirates | 2919.1
01.02.2017   | Venezuela            | 2079.0
01.02.2018   | Algeria              | 1026.0
01.02.2018   | Angola               | 1444.2
01.02.2018   | Congo                | 428.3
01.02.2018   | Equatorial Guinea    | 82.6
01.02.2018   | Gabon                | 222.2
01.02.2018   | IR Iran              | 3519.7
01.02.2018   | Iraq                 | 4431.7
01.02.2018   | Kuwait               | 2756.0
01.02.2018   | Libya                | 967.1
01.02.2018   | Nigeria              | 1590.5
01.02.2018   | United Arab Emirates | 2987.7
01.02.2018   | Venezuela            | 1470.3
01.02.2019   | Algeria              | 940.0
01.02.2019   | Angola               | 1352.4
01.02.2019   | Congo                | 260.7
01.02.2019   | Equatorial Guinea    | 98.8
01.02.2019   | Gabon                | 251.2
01.02.2019   | IR Iran              | 2313.4
01.02.2019   | Iraq                 | 4628.7
01.02.2019   | Kuwait               | 2719.9
01.02.2019   | Libya                | 1150.3
01.02.2019   | Nigeria              | 1802.3
01.02.2019   | United Arab Emirates | 3062.5
01.02.2019   | Venezuela            | 943.9
01.02.2021   | Algeria              | 837.4
01.02.2021   | Angola               | 1128.0
01.02.2021   | Congo                | 281.5
01.02.2021   | Equatorial Guinea    | 127.8
01.02.2021   | Gabon                | 139.1
01.02.2021   | IR Iran              | 2366.5
01.02.2021   | Iraq                 | 4014.3
01.02.2021   | Kuwait               | 2474.2
01.02.2021   | Libya                | 1206.3
01.02.2021   | Nigeria              | 1306.6
01.02.2021   | United Arab Emirates | 2712.6
01.02.2021   | Venezuela            | 671.0
01.02.2022   | Algeria              | 1054.4
01.02.2022   | Angola               | 1208.4
01.02.2022   | Congo                | 188.3
01.02.2022   | Equatorial Guinea    | 40.9
01.02.2022   | Gabon                | 248.9
01.02.2022   | IR Iran              | 2521.1
01.02.2022   | Iraq                 | 4441.2
01.02.2022   | Kuwait               | 2705.5
01.02.2022   | Libya                | 1020.2
01.02.2022   | Nigeria              | 1137.0
01.02.2022   | United Arab Emirates | 3078.8
01.02.2022   | Venezuela            | 681.8
01.03.2006   | Algeria              | 1423.3
01.03.2006   | Angola               | 1416.5
01.03.2006   | Congo                | 343.0
01.03.2006   | Equatorial Guinea    | 275.0
01.03.2006   | Gabon                | 370.6
01.03.2006   | IR Iran              | 4123.9
01.03.2006   | Iraq                 | 1866.2
01.03.2006   | Kuwait               | 2637.5
01.03.2006   | Libya                | 1713.1
01.03.2006   | Nigeria              | 2279.3
01.03.2006   | United Arab Emirates | 2563.8
01.03.2006   | Venezuela            | 3126.8
01.03.2007   | Algeria              | 1376.5
01.03.2007   | Angola               | 1727.2
01.03.2007   | Congo                | 247.1
01.03.2007   | Equatorial Guinea    | 317.1
01.03.2007   | Gabon                | 258.2
01.03.2007   | IR Iran              | 4036.7
01.03.2007   | Iraq                 | 1998.5
01.03.2007   | Kuwait               | 2607.2
01.03.2007   | Libya                | 1676.7
01.03.2007   | Nigeria              | 2101.3
01.03.2007   | United Arab Emirates | 2611.8
01.03.2007   | Venezuela            | 3068.5
01.03.2010   | Algeria              | 1277.6
01.03.2010   | Angola               | 1701.6
01.03.2010   | Congo                | 367.0
01.03.2010   | Equatorial Guinea    | 121.8
01.03.2010   | Gabon                | 210.0
01.03.2010   | IR Iran              | 3534.2
01.03.2010   | Iraq                 | 2329.5
01.03.2010   | Kuwait               | 2288.0
01.03.2010   | Libya                | 1514.0
01.03.2010   | Nigeria              | 2053.8
01.03.2010   | United Arab Emirates | 2219.4
01.03.2010   | Venezuela            | 2953.5
01.03.2011   | Algeria              | 1172.3
01.03.2011   | Angola               | 1565.6
01.03.2011   | Congo                | 290.6
01.03.2011   | Equatorial Guinea    | 226.3
01.03.2011   | Gabon                | 280.2
01.03.2011   | IR Iran              | 3569.6
01.03.2011   | Iraq                 | 2702.1
01.03.2011   | Kuwait               | 2757.7
01.03.2011   | Libya                | 413.5
01.03.2011   | Nigeria              | 1975.7
01.03.2011   | United Arab Emirates | 2629.7
01.03.2011   | Venezuela            | 2787.2
01.03.2012   | Algeria              | 1241.4
01.03.2012   | Angola               | 1599.5
01.03.2012   | Congo                | 207.4
01.03.2012   | Equatorial Guinea    | 351.7
01.03.2012   | Gabon                | 132.2
01.03.2012   | IR Iran              | 3659.1
01.03.2012   | Iraq                 | 2978.3
01.03.2012   | Kuwait               | 2958.7
01.03.2012   | Libya                | 1473.7
01.03.2012   | Nigeria              | 1928.8
01.03.2012   | United Arab Emirates | 2595.7
01.03.2012   | Venezuela            | 2744.8
01.03.2013   | Algeria              | 1185.8
01.03.2013   | Angola               | 1770.5
01.03.2013   | Congo                | 223.2
01.03.2013   | Equatorial Guinea    | 209.5
01.03.2013   | Gabon                | 223.7
01.03.2013   | IR Iran              | 3500.2
01.03.2013   | Iraq                 | 3038.5
01.03.2013   | Kuwait               | 2938.7
01.03.2013   | Libya                | 964.0
01.03.2013   | Nigeria              | 1895.6
01.03.2013   | United Arab Emirates | 2826.7
01.03.2013   | Venezuela            | 2720.5
01.03.2016   | Algeria              | 1086.7
01.03.2016   | Angola               | 1824.1
01.03.2016   | Congo                | 144.6
01.03.2016   | Equatorial Guinea    | 255.7
01.03.2016   | Gabon                | 207.6
01.03.2016   | IR Iran              | 3612.8
01.03.2016   | Iraq                 | 4689.4
01.03.2016   | Kuwait               | 2868.6
01.03.2016   | Libya                | 410.0
01.03.2016   | Nigeria              | 1439.6
01.03.2016   | United Arab Emirates | 3047.2
01.03.2016   | Venezuela            | 2366.9
01.03.2017   | Algeria              | 1052.7
01.03.2017   | Angola               | 1627.3
01.03.2017   | Congo                | 285.7
01.03.2017   | Equatorial Guinea    | 103.6
01.03.2017   | Gabon                | 130.6
01.03.2017   | IR Iran              | 3863.8
01.03.2017   | Iraq                 | 4492.9
01.03.2017   | Kuwait               | 2618.6
01.03.2017   | Libya                | 865.9
01.03.2017   | Nigeria              | 1518.4
01.03.2017   | United Arab Emirates | 2935.6
01.03.2017   | Venezuela            | 2017.7
01.03.2018   | Algeria              | 1060.1
01.03.2018   | Angola               | 1449.4
01.03.2018   | Congo                | 336.1
01.03.2018   | Equatorial Guinea    | 164.9
01.03.2018   | Gabon                | 142.9
01.03.2018   | IR Iran              | 3516.7
01.03.2018   | Iraq                 | 4387.6
01.03.2018   | Kuwait               | 2766.1
01.03.2018   | Libya                | 984.8
01.03.2018   | Nigeria              | 1596.7
01.03.2018   | United Arab Emirates | 3062.5
01.03.2018   | Venezuela            | 1584.2
01.03.2019   | Algeria              | 972.5
01.03.2019   | Angola               | 1331.1
01.03.2019   | Congo                | 405.5
01.03.2019   | Equatorial Guinea    | 117.2
01.03.2019   | Gabon                | 271.5
01.03.2019   | IR Iran              | 2302.9
01.03.2019   | Iraq                 | 4570.0
01.03.2019   | Kuwait               | 2654.9
01.03.2019   | Libya                | 1119.5
01.03.2019   | Nigeria              | 1746.3
01.03.2019   | United Arab Emirates | 3033.1
01.03.2019   | Venezuela            | 957.7
01.03.2021   | Algeria              | 947.0
01.03.2021   | Angola               | 1181.1
01.03.2021   | Congo                | 223.6
01.03.2021   | Equatorial Guinea    | 80.9
01.03.2021   | Gabon                | 126.4
01.03.2021   | IR Iran              | 2390.9
01.03.2021   | Iraq                 | 3947.7
01.03.2021   | Kuwait               | 2406.6
01.03.2021   | Libya                | 1211.7
01.03.2021   | Nigeria              | 1297.7
01.03.2021   | United Arab Emirates | 2709.4
01.03.2021   | Venezuela            | 628.2
01.03.2022   | Algeria              | 929.2
01.03.2022   | Angola               | 1071.5
01.03.2022   | Congo                | 281.9
01.03.2022   | Equatorial Guinea    | 104.4
01.03.2022   | Gabon                | 168.6
01.03.2022   | IR Iran              | 2490.9
01.03.2022   | Iraq                 | 4419.9
01.03.2022   | Kuwait               | 2703.9
01.03.2022   | Libya                | 1010.4
01.03.2022   | Nigeria              | 1167.1
01.03.2022   | United Arab Emirates | 3054.1
01.03.2022   | Venezuela            | 733.5
01.04.2008   | Algeria              | 1331.8
01.04.2008   | Angola               | 1948.5
01.04.2008   | Congo                | 266.4
01.04.2008   | Equatorial Guinea    | 231.3
01.04.2008   | Gabon                | 205.1
01.04.2008   | IR Iran              | 4065.4
01.04.2008   | Iraq                 | 2258.8
01.04.2008   | Kuwait               | 2757.3
01.04.2008   | Libya                | 1689.3
01.04.2008   | Nigeria              | 2046.4
01.04.2008   | United Arab Emirates | 2536.4
01.04.2008   | Venezuela            | 2950.3
01.04.2009   | Algeria              | 1208.8
01.04.2009   | Angola               | 1761.4
01.04.2009   | Congo                | 244.9
01.04.2009   | Equatorial Guinea    | 181.9
01.04.2009   | Gabon                | 286.3
01.04.2009   | IR Iran              | 3492.7
01.04.2009   | Iraq                 | 2376.8
01.04.2009   | Kuwait               | 2338.5
01.04.2009   | Libya                | 1457.6
01.04.2009   | Nigeria              | 1873.9
01.04.2009   | United Arab Emirates | 2183.1
01.04.2009   | Venezuela            | 2867.6
01.04.2010   | Algeria              | 1164.5
01.04.2010   | Angola               | 1729.0
01.04.2010   | Congo                | 297.7
01.04.2010   | Equatorial Guinea    | 222.3
01.04.2010   | Gabon                | 344.6
01.04.2010   | IR Iran              | 3585.5
01.04.2010   | Iraq                 | 2324.2
01.04.2010   | Kuwait               | 2237.8
01.04.2010   | Libya                | 1529.5
01.04.2010   | Nigeria              | 2071.6
01.04.2010   | United Arab Emirates | 2359.3
01.04.2010   | Venezuela            | 2875.6
01.04.2011   | Algeria              | 1115.3
01.04.2011   | Angola               | 1547.6
01.04.2011   | Congo                | 272.8
01.04.2011   | Equatorial Guinea    | 179.1
01.04.2011   | Gabon                | 221.2
01.04.2011   | IR Iran              | 3527.7
01.04.2011   | Iraq                 | 2700.8
01.04.2011   | Kuwait               | 2597.3
01.04.2011   | Libya                | 391.3
01.04.2011   | Nigeria              | 1939.7
01.04.2011   | United Arab Emirates | 2568.9
01.04.2011   | Venezuela            | 2928.9
01.04.2013   | Algeria              | 1174.2
01.04.2013   | Angola               | 1642.8
01.04.2013   | Congo                | 182.1
01.04.2013   | Equatorial Guinea    | 100.9
01.04.2013   | Gabon                | 224.8
01.04.2013   | IR Iran              | 3619.9
01.04.2013   | Iraq                 | 2966.5
01.04.2013   | Kuwait               | 2962.5
01.04.2013   | Libya                | 1071.9
01.04.2013   | Nigeria              | 1777.2
01.04.2013   | United Arab Emirates | 2791.8
01.04.2013   | Venezuela            | 2819.1
01.04.2014   | Algeria              | 1215.3
01.04.2014   | Angola               | 1597.6
01.04.2014   | Congo                | 295.5
01.04.2014   | Equatorial Guinea    | 261.9
01.04.2014   | Gabon                | 163.9
01.04.2014   | IR Iran              | 3041.7
01.04.2014   | Iraq                 | 3155.7
01.04.2014   | Kuwait               | 2876.6
01.04.2014   | Libya                | 436.7
01.04.2014   | Nigeria              | 1879.8
01.04.2014   | United Arab Emirates | 2900.6
01.04.2014   | Venezuela            | 2672.5
01.04.2015   | Algeria              | 1150.2
01.04.2015   | Angola               | 1717.7
01.04.2015   | Congo                | 190.9
01.04.2015   | Equatorial Guinea    | 165.3
01.04.2015   | Gabon                | 245.1
01.04.2015   | IR Iran              | 3150.4
01.04.2015   | Iraq                 | 3484.9
01.04.2015   | Kuwait               | 2818.8
01.04.2015   | Libya                | 447.3
01.04.2015   | Nigeria              | 1813.3
01.04.2015   | United Arab Emirates | 3036.6
01.04.2015   | Venezuela            | 2648.5
01.04.2016   | Algeria              | 1146.8
01.04.2016   | Angola               | 1734.6
01.04.2016   | Congo                | 202.5
01.04.2016   | Equatorial Guinea    | 164.1
01.04.2016   | Gabon                | 192.0
01.04.2016   | IR Iran              | 3619.7
01.04.2016   | Iraq                 | 4739.4
01.04.2016   | Kuwait               | 2951.1
01.04.2016   | Libya                | 385.6
01.04.2016   | Nigeria              | 1453.9
01.04.2016   | United Arab Emirates | 3157.8
01.04.2016   | Venezuela            | 2429.3
01.04.2019   | Algeria              | 1060.9
01.04.2019   | Angola               | 1433.1
01.04.2019   | Congo                | 431.5
01.04.2019   | Equatorial Guinea    | 87.8
01.04.2019   | Gabon                | 238.1
01.04.2019   | IR Iran              | 2387.7
01.04.2019   | Iraq                 | 4594.1
01.04.2019   | Kuwait               | 2669.5
01.04.2019   | Libya                | 1202.4
01.04.2019   | Nigeria              | 1701.2
01.04.2019   | United Arab Emirates | 2996.6
01.04.2019   | Venezuela            | 1006.5
01.04.2020   | Algeria              | 937.4
01.04.2020   | Angola               | 1357.6
01.04.2020   | Congo                | 303.2
01.04.2020   | Equatorial Guinea    | 145.2
01.04.2020   | Gabon                | 218.4
01.04.2020   | IR Iran              | 1994.9
01.04.2020   | Iraq                 | 3963.0
01.04.2020   | Kuwait               | 2372.1
01.04.2020   | Libya                | 362.4
01.04.2020   | Nigeria              | 1459.3
01.04.2020   | United Arab Emirates | 2783.6
01.04.2020   | Venezuela            | 509.6
01.04.2021   | Algeria              | 878.1
01.04.2021   | Angola               | 1149.4
01.04.2021   | Congo                | 203.1
01.04.2021   | Equatorial Guinea    | 108.7
01.04.2021   | Gabon                | 192.3
01.04.2021   | IR Iran              | 2304.9
01.04.2021   | Iraq                 | 3929.5
01.04.2021   | Kuwait               | 2375.3
01.04.2021   | Libya                | 1133.7
01.04.2021   | Nigeria              | 1345.3
01.04.2021   | United Arab Emirates | 2758.4
01.04.2021   | Venezuela            | 590.2
01.04.2022   | Algeria              | 994.3
01.04.2022   | Angola               | 1187.0
01.04.2022   | Congo                | 242.5
01.04.2022   | Equatorial Guinea    | 119.4
01.04.2022   | Gabon                | 210.3
01.04.2022   | IR Iran              | 2579.3
01.04.2022   | Iraq                 | 4403.5
01.04.2022   | Kuwait               | 2727.7
01.04.2022   | Libya                | 1002.3
01.04.2022   | Nigeria              | 1138.8
01.04.2022   | United Arab Emirates | 3021.7
01.04.2022   | Venezuela            | 735.9
01.05.2006   | Algeria              | 1415.6
01.05.2006   | Angola               | 1371.8
01.05.2006   | Congo                | 325.1
01.05.2006   | Equatorial Guinea    | 335.5
01.05.2006   | Gabon                | 313.9
01.05.2006   | IR Iran              | 3914.2
01.05.2006   | Iraq                 | 1925.2
01.05.2006   | Kuwait               | 2639.6
01.05.2006   | Libya                | 1769.9
01.05.2006   | Nigeria              | 2216.4
01.05.2006   | United Arab Emirates | 2597.2
01.05.2006   | Venezuela            | 2933.8
01.05.2007   | Algeria              | 1358.6
01.05.2007   | Angola               | 1675.5
01.05.2007   | Congo                | 192.0
01.05.2007   | Equatorial Guinea    | 342.0
01.05.2007   | Gabon                | 213.8
01.05.2007   | IR Iran              | 4062.5
01.05.2007   | Iraq                 | 2039.8
01.05.2007   | Kuwait               | 2627.7
01.05.2007   | Libya                | 1661.1
01.05.2007   | Nigeria              | 2122.5
01.05.2007   | United Arab Emirates | 2539.7
01.05.2007   | Venezuela            | 2920.2
01.05.2008   | Algeria              | 1330.5
01.05.2008   | Angola               | 1860.5
01.05.2008   | Congo                | 284.9
01.05.2008   | Equatorial Guinea    | 265.3
01.05.2008   | Gabon                | 258.1
01.05.2008   | IR Iran              | 4069.1
01.05.2008   | Iraq                 | 2361.7
01.05.2008   | Kuwait               | 2703.8
01.05.2008   | Libya                | 1744.3
01.05.2008   | Nigeria              | 2042.3
01.05.2008   | United Arab Emirates | 2562.7
01.05.2008   | Venezuela            | 2870.6
01.05.2009   | Algeria              | 1229.6
01.05.2009   | Angola               | 1697.2
01.05.2009   | Congo                | 344.9
01.05.2009   | Equatorial Guinea    | 331.3
01.05.2009   | Gabon                | 134.9
01.05.2009   | IR Iran              | 3548.1
01.05.2009   | Iraq                 | 2355.1
01.05.2009   | Kuwait               | 2326.4
01.05.2009   | Libya                | 1488.2
01.05.2009   | Nigeria              | 1787.8
01.05.2009   | United Arab Emirates | 2281.2
01.05.2009   | Venezuela            | 2978.1
01.05.2012   | Algeria              | 1189.2
01.05.2012   | Angola               | 1698.8
01.05.2012   | Congo                | 217.1
01.05.2012   | Equatorial Guinea    | 183.4
01.05.2012   | Gabon                | 274.9
01.05.2012   | IR Iran              | 3767.9
01.05.2012   | Iraq                 | 2961.3
01.05.2012   | Kuwait               | 3016.3
01.05.2012   | Libya                | 1494.4
01.05.2012   | Nigeria              | 2038.0
01.05.2012   | United Arab Emirates | 2678.7
01.05.2012   | Venezuela            | 2839.1
01.05.2013   | Algeria              | 1215.4
01.05.2013   | Angola               | 1696.5
01.05.2013   | Congo                | 336.4
01.05.2013   | Equatorial Guinea    | 196.1
01.05.2013   | Gabon                | 226.6
01.05.2013   | IR Iran              | 3592.0
01.05.2013   | Iraq                 | 3048.8
01.05.2013   | Kuwait               | 2881.0
01.05.2013   | Libya                | 1066.7
01.05.2013   | Nigeria              | 1705.5
01.05.2013   | United Arab Emirates | 2844.8
01.05.2013   | Venezuela            | 2692.3
01.05.2014   | Algeria              | 1189.7
01.05.2014   | Angola               | 1602.9
01.05.2014   | Congo                | 251.6
01.05.2014   | Equatorial Guinea    | 257.1
01.05.2014   | Gabon                | 225.8
01.05.2014   | IR Iran              | 3061.2
01.05.2014   | Iraq                 | 3139.2
01.05.2014   | Kuwait               | 2860.4
01.05.2014   | Libya                | 484.3
01.05.2014   | Nigeria              | 1914.9
01.05.2014   | United Arab Emirates | 2779.7
01.05.2014   | Venezuela            | 2682.4
01.05.2015   | Algeria              | 1160.0
01.05.2015   | Angola               | 1832.4
01.05.2015   | Congo                | 181.2
01.05.2015   | Equatorial Guinea    | 176.0
01.05.2015   | Gabon                | 194.9
01.05.2015   | IR Iran              | 3170.4
01.05.2015   | Iraq                 | 3481.8
01.05.2015   | Kuwait               | 2947.3
01.05.2015   | Libya                | 480.7
01.05.2015   | Nigeria              | 1699.2
01.05.2015   | United Arab Emirates | 3049.0
01.05.2015   | Venezuela            | 2602.2
01.05.2017   | Algeria              | 876.1
01.05.2017   | Angola               | 1546.3
01.05.2017   | Congo                | 259.9
01.05.2017   | Equatorial Guinea    | 104.5
01.05.2017   | Gabon                | 289.3
01.05.2017   | IR Iran              | 3853.3
01.05.2017   | Iraq                 | 4557.0
01.05.2017   | Kuwait               | 2679.4
01.05.2017   | Libya                | 900.9
01.05.2017   | Nigeria              | 1465.5
01.05.2017   | United Arab Emirates | 2869.2
01.05.2017   | Venezuela            | 2089.0
01.05.2018   | Algeria              | 976.8
01.05.2018   | Angola               | 1405.3
01.05.2018   | Congo                | 291.6
01.05.2018   | Equatorial Guinea    | 90.3
01.05.2018   | Gabon                | 209.8
01.05.2018   | IR Iran              | 3555.1
01.05.2018   | Iraq                 | 4374.2
01.05.2018   | Kuwait               | 2758.7
01.05.2018   | Libya                | 964.5
01.05.2018   | Nigeria              | 1576.2
01.05.2018   | United Arab Emirates | 2945.0
01.05.2018   | Venezuela            | 1478.2
01.05.2019   | Algeria              | 1084.3
01.05.2019   | Angola               | 1290.7
01.05.2019   | Congo                | 320.0
01.05.2019   | Equatorial Guinea    | 164.8
01.05.2019   | Gabon                | 73.8
01.05.2019   | IR Iran              | 2322.2
01.05.2019   | Iraq                 | 4665.7
01.05.2019   | Kuwait               | 2628.9
01.05.2019   | Libya                | 1100.9
01.05.2019   | Nigeria              | 1768.2
01.05.2019   | United Arab Emirates | 3058.6
01.05.2019   | Venezuela            | 1025.6
01.05.2020   | Algeria              | 875.4
01.05.2020   | Angola               | 1324.9
01.05.2020   | Congo                | 313.1
01.05.2020   | Equatorial Guinea    | 204.6
01.05.2020   | Gabon                | 204.7
01.05.2020   | IR Iran              | 2046.6
01.05.2020   | Iraq                 | 3943.1
01.05.2020   | Kuwait               | 2460.0
01.05.2020   | Libya                | 382.0
01.05.2020   | Nigeria              | 1472.1
01.05.2020   | United Arab Emirates | 2774.6
01.05.2020   | Venezuela            | 533.1
01.06.2006   | Algeria              | 1313.3
01.06.2006   | Angola               | 1379.8
01.06.2006   | Congo                | 278.1
01.06.2006   | Equatorial Guinea    | 262.4
01.06.2006   | Gabon                | 247.9
01.06.2006   | IR Iran              | 4145.1
01.06.2006   | Iraq                 | 1969.5
01.06.2006   | Kuwait               | 2709.4
01.06.2006   | Libya                | 1716.2
01.06.2006   | Nigeria              | 2287.4
01.06.2006   | United Arab Emirates | 2612.4
01.06.2006   | Venezuela            | 3037.8
01.06.2007   | Algeria              | 1353.2
01.06.2007   | Angola               | 1695.6
01.06.2007   | Congo                | 145.7
01.06.2007   | Equatorial Guinea    | 287.9
01.06.2007   | Gabon                | 227.7
01.06.2007   | IR Iran              | 4118.5
01.06.2007   | Iraq                 | 2074.2
01.06.2007   | Kuwait               | 2678.3
01.06.2007   | Libya                | 1697.0
01.06.2007   | Nigeria              | 2036.4
01.06.2007   | United Arab Emirates | 2553.9
01.06.2007   | Venezuela            | 2945.4
01.06.2009   | Algeria              | 1198.3
01.06.2009   | Angola               | 1763.2
01.06.2009   | Congo                | 290.3
01.06.2009   | Equatorial Guinea    | 293.7
01.06.2009   | Gabon                | 160.5
01.06.2009   | IR Iran              | 3569.7
01.06.2009   | Iraq                 | 2365.0
01.06.2009   | Kuwait               | 2278.7
01.06.2009   | Libya                | 1473.8
01.06.2009   | Nigeria              | 1884.1
01.06.2009   | United Arab Emirates | 2295.8
01.06.2009   | Venezuela            | 2866.1
01.06.2010   | Algeria              | 1222.9
01.06.2010   | Angola               | 1712.1
01.06.2010   | Congo                | 238.6
01.06.2010   | Equatorial Guinea    | 291.5
01.06.2010   | Gabon                | 221.0
01.06.2010   | IR Iran              | 3559.1
01.06.2010   | Iraq                 | 2341.0
01.06.2010   | Kuwait               | 2327.5
01.06.2010   | Libya                | 1525.5
01.06.2010   | Nigeria              | 2166.4
01.06.2010   | United Arab Emirates | 2340.3
01.06.2010   | Venezuela            | 2908.0
01.06.2011   | Algeria              | 1116.2
01.06.2011   | Angola               | 1600.6
01.06.2011   | Congo                | 285.7
01.06.2011   | Equatorial Guinea    | 276.6
01.06.2011   | Gabon                | 206.3
01.06.2011   | IR Iran              | 3633.5
01.06.2011   | Iraq                 | 2630.0
01.06.2011   | Kuwait               | 2674.6
01.06.2011   | Libya                | 498.4
01.06.2011   | Nigeria              | 1955.9
01.06.2011   | United Arab Emirates | 2477.7
01.06.2011   | Venezuela            | 2802.3
01.06.2012   | Algeria              | 1222.4
01.06.2012   | Angola               | 1765.2
01.06.2012   | Congo                | 230.3
01.06.2012   | Equatorial Guinea    | 284.2
01.06.2012   | Gabon                | 188.7
01.06.2012   | IR Iran              | 3737.8
01.06.2012   | Iraq                 | 2900.8
01.06.2012   | Kuwait               | 3043.5
01.06.2012   | Libya                | 1480.9
01.06.2012   | Nigeria              | 1919.8
01.06.2012   | United Arab Emirates | 2613.1
01.06.2012   | Venezuela            | 2819.8
01.06.2015   | Algeria              | 1165.2
01.06.2015   | Angola               | 1610.2
01.06.2015   | Congo                | 220.0
01.06.2015   | Equatorial Guinea    | 141.7
01.06.2015   | Gabon                | 263.7
01.06.2015   | IR Iran              | 3127.3
01.06.2015   | Iraq                 | 3478.0
01.06.2015   | Kuwait               | 2873.1
01.06.2015   | Libya                | 394.0
01.06.2015   | Nigeria              | 1769.2
01.06.2015   | United Arab Emirates | 2938.9
01.06.2015   | Venezuela            | 2614.3
01.06.2016   | Algeria              | 1181.9
01.06.2016   | Angola               | 1782.2
01.06.2016   | Congo                | 228.3
01.06.2016   | Equatorial Guinea    | 118.1
01.06.2016   | Gabon                | 172.8
01.06.2016   | IR Iran              | 3674.1
01.06.2016   | Iraq                 | 4659.1
