Дата         | Страна               | Среднедневная добыча за год (1000 бар/д)
01.03.2006   | Nigeria              | 2233.884
01.03.2006   | United Arab Emirates | 2568.0
01.03.2006   | Venezuela            | 3035.6
01.03.2007   | Algeria              | 1371.6
01.03.2007   | Angola               | 1694.6
01.03.2007   | Congo                | 219.46
01.03.2007   | Equatorial Guinea    | 296.237
01.03.2007   | Gabon                | 232.467
01.03.2007   | IR Iran              | 4030.7
01.03.2007   | Iraq                 | 2035.244
01.03.2007   | Kuwait               | 2574.5
01.03.2007   | Libya                | 1673.9
01.03.2007   | Nigeria              | 2059.262
01.03.2007   | United Arab Emirates | 2529.0
01.03.2007   | Venezuela            | 2981.923
01.03.2010   | Algeria              | 1189.839
01.03.2010   | Angola               | 1757.6
01.03.2010   | Congo                | 308.146
01.03.2010   | Equatorial Guinea    | 240.972
01.03.2010   | Gabon                | 241.114
01.03.2010   | IR Iran              | 3544.0
01.03.2010   | Iraq                 | 2358.074
01.03.2010   | Kuwait               | 2312.12
01.03.2010   | Libya                | 1486.605
01.03.2010   | Nigeria              | 2048.269
01.03.2010   | United Arab Emirates | 2323.829
01.03.2010   | Venezuela            | 2853.638
01.03.2011   | Algeria              | 1161.608
01.03.2011   | Angola               | 1618.047
01.03.2011   | Congo                | 289.431
01.03.2011   | Equatorial Guinea    | 228.805
01.03.2011   | Gabon                | 241.32
01.03.2011   | IR Iran              | 3576.0
01.03.2011   | Iraq                 | 2652.625
01.03.2011   | Kuwait               | 2658.69
01.03.2011   | Libya                | 489.456
01.03.2011   | Nigeria              | 1974.808
01.03.2011   | United Arab Emirates | 2564.17
01.03.2011   | Venezuela            | 2880.907
01.03.2012   | Algeria              | 1199.795
01.03.2012   | Angola               | 1704.001
01.03.2012   | Congo                | 262.87
01.03.2012   | Equatorial Guinea    | 247.143
01.03.2012   | Gabon                | 227.255
01.03.2012   | IR Iran              | 3739.751
01.03.2012   | Iraq                 | 2942.407
01.03.2012   | Kuwait               | 2977.56
01.03.2012   | Libya                | 1449.994
01.03.2012   | Nigeria              | 1954.074
01.03.2012   | United Arab Emirates | 2653.0
01.03.2012   | Venezuela            | 2803.93
01.03.2013   | Algeria              | 1202.614
01.03.2013   | Angola               | 1701.203
01.03.2013   | Congo                | 239.789
01.03.2013   | Equatorial Guinea    | 211.19
01.03.2013   | Gabon                | 220.247
01.03.2013   | IR Iran              | 3575.342
01.03.2013   | Iraq                 | 2979.616
01.03.2013   | Kuwait               | 2924.65
01.03.2013   | Libya                | 993.346
01.03.2013   | Nigeria              | 1753.717
01.03.2013   | United Arab Emirates | 2796.534
01.03.2013   | Venezuela            | 2789.486
01.03.2016   | Algeria              | 1146.295
01.03.2016   | Angola               | 1721.62
01.03.2016   | Congo                | 225.008
01.03.2016   | Equatorial Guinea    | 163.205
01.03.2016   | Gabon                | 220.693
01.03.2016   | IR Iran              | 3651.298
01.03.2016   | Iraq                 | 4647.795
01.03.2016   | Kuwait               | 2954.265
01.03.2016   | Libya                | 388.945
01.03.2016   | Nigeria              | 1427.262
01.03.2016   | United Arab Emirates | 3088.284
01.03.2016   | Venezuela            | 2372.503
01.03.2017   | Algeria              | 1058.693
01.03.2017   | Angola               | 1632.238
01.03.2017   | Congo                | 262.73
01.03.2017   | Equatorial Guinea    | 128.6
01.03.2017   | Gabon                | 210.066
01.03.2017   | IR Iran              | 3867.315
01.03.2017   | Iraq                 | 4468.663
01.03.2017   | Kuwait               | 2704.236
01.03.2017   | Libya                | 807.594
01.03.2017   | Nigeria              | 1535.639
01.03.2017   | United Arab Emirates | 2966.526
01.03.2017   | Venezuela            | 2034.802
01.03.2018   | Algeria              | 1040.102
01.03.2018   | Angola               | 1473.267
01.03.2018   | Congo                | 323.466
01.03.2018   | Equatorial Guinea    | 120.179
01.03.2018   | Gabon                | 193.447
01.03.2018   | IR Iran              | 3535.865
01.03.2018   | Iraq                 | 4410.0
01.03.2018   | Kuwait               | 2736.603
01.03.2018   | Libya                | 946.219
01.03.2018   | Nigeria              | 1601.61
01.03.2018   | United Arab Emirates | 3008.342
01.03.2018   | Venezuela            | 1510.2
01.03.2019   | Algeria              | 1023.2
01.03.2019   | Angola               | 1372.848
01.03.2019   | Congo                | 329.197
01.03.2019   | Equatorial Guinea    | 109.583
01.03.2019   | Gabon                | 217.831
01.03.2019   | IR Iran              | 2362.446
01.03.2019   | Iraq                 | 4576.14
01.03.2019   | Kuwait               | 2677.655
01.03.2019   | Libya                | 1090.806
01.03.2019   | Nigeria              | 1737.407
01.03.2019   | United Arab Emirates | 3057.899
01.03.2019   | Venezuela            | 1012.605
01.03.2021   | Algeria              | 910.877
01.03.2021   | Angola               | 1124.457
01.03.2021   | Congo                | 266.646
01.03.2021   | Equatorial Guinea    | 93.32
01.03.2021   | Gabon                | 181.168
01.03.2021   | IR Iran              | 2392.117
01.03.2021   | Iraq                 | 3971.367
01.03.2021   | Kuwait               | 2414.956
01.03.2021   | Libya                | 1207.091
01.03.2021   | Nigeria              | 1322.759
01.03.2021   | United Arab Emirates | 2717.603
01.03.2021   | Venezuela            | 636.0
01.03.2022   | Algeria              | 1020.258
01.03.2022   | Angola               | 1136.711
01.03.2022   | Congo                | 261.604
01.03.2022   | Equatorial Guinea    | 81.295
01.03.2022   | Gabon                | 190.547
01.03.2022   | IR Iran              | 2554.267
01.03.2022   | Iraq                 | 4452.528
01.03.2022   | Kuwait               | 2707.038
01.03.2022   | Libya                | 981.282
01.03.2022   | Nigeria              | 1137.913
01.03.2022   | United Arab Emirates | 3064.181
01.03.2022   | Venezuela            | 716.395
01.04.2008   | Algeria              | 1356.0
01.04.2008   | Angola               | 1896.343
01.04.2008   | Congo                | 244.367
01.04.2008   | Equatorial Guinea    | 302.162
01.04.2008   | Gabon                | 228.279
01.04.2008   | IR Iran              | 4055.672
01.04.2008   | Iraq                 | 2280.538
01.04.2008   | Kuwait               | 2676.01
01.04.2008   | Libya                | 1721.484
01.04.2008   | Nigeria              | 2017.366
01.04.2008   | United Arab Emirates | 2572.2
01.04.2008   | Venezuela            | 2957.536
01.04.2009   | Algeria              | 1216.0
01.04.2009   | Angola               | 1738.884
01.04.2009   | Congo                | 271.763
01.04.2009   | Equatorial Guinea    | 262.488
01.04.2009   | Gabon                | 228.258
01.04.2009   | IR Iran              | 3557.083
01.04.2009   | Iraq                 | 2336.181
01.04.2009   | Kuwait               | 2261.61
01.04.2009   | Libya                | 1473.937
01.04.2009   | Nigeria              | 1841.984
01.04.2009   | United Arab Emirates | 2241.638
01.04.2009   | Venezuela            | 2878.06
01.04.2010   | Algeria              | 1189.839
01.04.2010   | Angola               | 1757.6
01.04.2010   | Congo                | 308.146
01.04.2010   | Equatorial Guinea    | 240.972
01.04.2010   | Gabon                | 241.114
01.04.2010   | IR Iran              | 3544.0
01.04.2010   | Iraq                 | 2358.074
01.04.2010   | Kuwait               | 2312.12
01.04.2010   | Libya                | 1486.605
01.04.2010   | Nigeria              | 2048.269
01.04.2010   | United Arab Emirates | 2323.829
01.04.2010   | Venezuela            | 2853.638
01.04.2011   | Algeria              | 1161.608
01.04.2011   | Angola               | 1618.047
01.04.2011   | Congo                | 289.431
01.04.2011   | Equatorial Guinea    | 228.805
01.04.2011   | Gabon                | 241.32
01.04.2011   | IR Iran              | 3576.0
01.04.2011   | Iraq                 | 2652.625
01.04.2011   | Kuwait               | 2658.69
01.04.2011   | Libya                | 489.456
01.04.2011   | Nigeria              | 1974.808
01.04.2011   | United Arab Emirates | 2564.17
01.04.2011   | Venezuela            | 2880.907
01.04.2013   | Algeria              | 1202.614
01.04.2013   | Angola               | 1701.203
01.04.2013   | Congo                | 239.789
01.04.2013   | Equatorial Guinea    | 211.19
01.04.2013   | Gabon                | 220.247
01.04.2013   | IR Iran              | 3575.342
01.04.2013   | Iraq                 | 2979.616
01.04.2013   | Kuwait               | 2924.65
01.04.2013   | Libya                | 993.346
01.04.2013   | Nigeria              | 1753.717
01.04.2013   | United Arab Emirates | 2796.534
01.04.2013   | Venezuela            | 2789.486
01.04.2014   | Algeria              | 1192.833
01.04.2014   | Angola               | 1653.688
01.04.2014   | Congo                | 241.459
01.04.2014   | Equatorial Guinea    | 201.498
01.04.2014   | Gabon                | 214.913
01.04.2014   | IR Iran              | 3117.082
01.04.2014   | Iraq                 | 3110.471
01.04.2014   | Kuwait               | 2866.78
01.04.2014   | Libya                | 479.899
01.04.2014   | Nigeria              | 1807.047
01.04.2014   | United Arab Emirates | 2794.0
01.04.2014   | Venezuela            | 2682.633
01.04.2015   | Algeria              | 1157.082
01.04.2015   | Angola               | 1767.068
01.04.2015   | Congo                | 234.136
01.04.2015   | Equatorial Guinea    | 186.789
01.04.2015   | Gabon                | 218.312
01.04.2015   | IR Iran              | 3151.644
01.04.2015   | Iraq                 | 3504.137
01.04.2015   | Kuwait               | 2858.685
01.04.2015   | Libya                | 400.31
01.04.2015   | Nigeria              | 1748.191
01.04.2015   | United Arab Emirates | 2988.885
01.04.2015   | Venezuela            | 2653.871
01.04.2016   | Algeria              | 1146.295
01.04.2016   | Angola               | 1721.62
01.04.2016   | Congo                | 225.008
01.04.2016   | Equatorial Guinea    | 163.205
01.04.2016   | Gabon                | 220.693
01.04.2016   | IR Iran              | 3651.298
01.04.2016   | Iraq                 | 4647.795
01.04.2016   | Kuwait               | 2954.265
01.04.2016   | Libya                | 388.945
01.04.2016   | Nigeria              | 1427.262
01.04.2016   | United Arab Emirates | 3088.284
01.04.2016   | Venezuela            | 2372.503
01.04.2019   | Algeria              | 1023.2
01.04.2019   | Angola               | 1372.848
01.04.2019   | Congo                | 329.197
01.04.2019   | Equatorial Guinea    | 109.583
01.04.2019   | Gabon                | 217.831
01.04.2019   | IR Iran              | 2362.446
01.04.2019   | Iraq                 | 4576.14
01.04.2019   | Kuwait               | 2677.655
01.04.2019   | Libya                | 1090.806
01.04.2019   | Nigeria              | 1737.407
01.04.2019   | United Arab Emirates | 3057.899
01.04.2019   | Venezuela            | 1012.605
01.04.2020   | Algeria              | 898.738
01.04.2020   | Angola               | 1271.46
01.04.2020   | Congo                | 299.936
01.04.2020   | Equatorial Guinea    | 113.575
01.04.2020   | Gabon                | 207.419
01.04.2020   | IR Iran              | 1990.624
01.04.2020   | Iraq                 | 3996.617
01.04.2020   | Kuwait               | 2438.003
01.04.2020   | Libya                | 389.334
01.04.2020   | Nigeria              | 1493.226
01.04.2020   | United Arab Emirates | 2778.552
01.04.2020   | Venezuela            | 568.571
01.04.2021   | Algeria              | 910.877
01.04.2021   | Angola               | 1124.457
01.04.2021   | Congo                | 266.646
01.04.2021   | Equatorial Guinea    | 93.32
01.04.2021   | Gabon                | 181.168
01.04.2021   | IR Iran              | 2392.117
01.04.2021   | Iraq                 | 3971.367
01.04.2021   | Kuwait               | 2414.956
01.04.2021   | Libya                | 1207.091
01.04.2021   | Nigeria              | 1322.759
01.04.2021   | United Arab Emirates | 2717.603
01.04.2021   | Venezuela            | 636.0
01.04.2022   | Algeria              | 1020.258
01.04.2022   | Angola               | 1136.711
01.04.2022   | Congo                | 261.604
01.04.2022   | Equatorial Guinea    | 81.295
01.04.2022   | Gabon                | 190.547
01.04.2022   | IR Iran              | 2554.267
01.04.2022   | Iraq                 | 4452.528
01.04.2022   | Kuwait               | 2707.038
01.04.2022   | Libya                | 981.282
01.04.2022   | Nigeria              | 1137.913
01.04.2022   | United Arab Emirates | 3064.181
01.04.2022   | Venezuela            | 716.395
01.05.2006   | Algeria              | 1368.83
01.05.2006   | Angola               | 1384.6
01.05.2006   | Congo                | 260.388
01.05.2006   | Equatorial Guinea    | 281.781
01.05.2006   | Gabon                | 227.714
01.05.2006   | IR Iran              | 4072.6
01.05.2006   | Iraq                 | 1957.224687843193
01.05.2006   | Kuwait               | 2664.5
01.05.2006   | Libya                | 1751.186
01.05.2006   | Nigeria              | 2233.884
01.05.2006   | United Arab Emirates | 2568.0
01.05.2006   | Venezuela            | 3035.6
01.05.2007   | Algeria              | 1371.6
01.05.2007   | Angola               | 1694.6
01.05.2007   | Congo                | 219.46
01.05.2007   | Equatorial Guinea    | 296.237
01.05.2007   | Gabon                | 232.467
01.05.2007   | IR Iran              | 4030.7
01.05.2007   | Iraq                 | 2035.244
01.05.2007   | Kuwait               | 2574.5
01.05.2007   | Libya                | 1673.9
01.05.2007   | Nigeria              | 2059.262
01.05.2007   | United Arab Emirates | 2529.0
01.05.2007   | Venezuela            | 2981.923
01.05.2008   | Algeria              | 1356.0
01.05.2008   | Angola               | 1896.343
01.05.2008   | Congo                | 244.367
01.05.2008   | Equatorial Guinea    | 302.162
01.05.2008   | Gabon                | 228.279
01.05.2008   | IR Iran              | 4055.672
01.05.2008   | Iraq                 | 2280.538
01.05.2008   | Kuwait               | 2676.01
01.05.2008   | Libya                | 1721.484
01.05.2008   | Nigeria              | 2017.366
01.05.2008   | United Arab Emirates | 2572.2
01.05.2008   | Venezuela            | 2957.536
01.05.2009   | Algeria              | 1216.0
01.05.2009   | Angola               | 1738.884
01.05.2009   | Congo                | 271.763
01.05.2009   | Equatorial Guinea    | 262.488
01.05.2009   | Gabon                | 228.258
01.05.2009   | IR Iran              | 3557.083
01.05.2009   | Iraq                 | 2336.181
01.05.2009   | Kuwait               | 2261.61
01.05.2009   | Libya                | 1473.937
01.05.2009   | Nigeria              | 1841.984
01.05.2009   | United Arab Emirates | 2241.638
01.05.2009   | Venezuela            | 2878.06
01.05.2012   | Algeria              | 1199.795
01.05.2012   | Angola               | 1704.001
01.05.2012   | Congo                | 262.87
01.05.2012   | Equatorial Guinea    | 247.143
01.05.2012   | Gabon                | 227.255
01.05.2012   | IR Iran              | 3739.751
01.05.2012   | Iraq                 | 2942.407
01.05.2012   | Kuwait               | 2977.56
01.05.2012   | Libya                | 1449.994
01.05.2012   | Nigeria              | 1954.074
01.05.2012   | United Arab Emirates | 2653.0
01.05.2012   | Venezuela            | 2803.93
01.05.2013   | Algeria              | 1202.614
01.05.2013   | Angola               | 1701.203
01.05.2013   | Congo                | 239.789
01.05.2013   | Equatorial Guinea    | 211.19
01.05.2013   | Gabon                | 220.247
01.05.2013   | IR Iran              | 3575.342
01.05.2013   | Iraq                 | 2979.616
01.05.2013   | Kuwait               | 2924.65
01.05.2013   | Libya                | 993.346
01.05.2013   | Nigeria              | 1753.717
01.05.2013   | United Arab Emirates | 2796.534
01.05.2013   | Venezuela            | 2789.486
01.05.2014   | Algeria              | 1192.833
01.05.2014   | Angola               | 1653.688
01.05.2014   | Congo                | 241.459
01.05.2014   | Equatorial Guinea    | 201.498
01.05.2014   | Gabon                | 214.913
01.05.2014   | IR Iran              | 3117.082
01.05.2014   | Iraq                 | 3110.471
01.05.2014   | Kuwait               | 2866.78
01.05.2014   | Libya                | 479.899
01.05.2014   | Nigeria              | 1807.047
01.05.2014   | United Arab Emirates | 2794.0
01.05.2014   | Venezuela            | 2682.633
01.05.2015   | Algeria              | 1157.082
01.05.2015   | Angola               | 1767.068
01.05.2015   | Congo                | 234.136
01.05.2015   | Equatorial Guinea    | 186.789
01.05.2015   | Gabon                | 218.312
01.05.2015   | IR Iran              | 3151.644
01.05.2015   | Iraq                 | 3504.137
01.05.2015   | Kuwait               | 2858.685
01.05.2015   | Libya                | 400.31
01.05.2015   | Nigeria              | 1748.191
01.05.2015   | United Arab Emirates | 2988.885
01.05.2015   | Venezuela            | 2653.871
01.05.2017   | Algeria              | 1058.693
01.05.2017   | Angola               | 1632.238
01.05.2017   | Congo                | 262.73
01.05.2017   | Equatorial Guinea    | 128.6
01.05.2017   | Gabon                | 210.066
01.05.2017   | IR Iran              | 3867.315
01.05.2017   | Iraq                 | 4468.663
01.05.2017   | Kuwait               | 2704.236
01.05.2017   | Libya                | 807.594
01.05.2017   | Nigeria              | 1535.639
01.05.2017   | United Arab Emirates | 2966.526
01.05.2017   | Venezuela            | 2034.802
01.05.2018   | Algeria              | 1040.102
01.05.2018   | Angola               | 1473.267
01.05.2018   | Congo                | 323.466
01.05.2018   | Equatorial Guinea    | 120.179
01.05.2018   | Gabon                | 193.447
01.05.2018   | IR Iran              | 3535.865
01.05.2018   | Iraq                 | 4410.0
01.05.2018   | Kuwait               | 2736.603
01.05.2018   | Libya                | 946.219
01.05.2018   | Nigeria              | 1601.61
01.05.2018   | United Arab Emirates | 3008.342
01.05.2018   | Venezuela            | 1510.2
01.05.2019   | Algeria              | 1023.2
01.05.2019   | Angola               | 1372.848
01.05.2019   | Congo                | 329.197
01.05.2019   | Equatorial Guinea    | 109.583
01.05.2019   | Gabon                | 217.831
01.05.2019   | IR Iran              | 2362.446
01.05.2019   | Iraq                 | 4576.14
01.05.2019   | Kuwait               | 2677.655
01.05.2019   | Libya                | 1090.806
01.05.2019   | Nigeria              | 1737.407
01.05.2019   | United Arab Emirates | 3057.899
01.05.2019   | Venezuela            | 1012.605
01.05.2020   | Algeria              | 898.738
01.05.2020   | Angola               | 1271.46
01.05.2020   | Congo                | 299.936
01.05.2020   | Equatorial Guinea    | 113.575
01.05.2020   | Gabon                | 207.419
01.05.2020   | IR Iran              | 1990.624
01.05.2020   | Iraq                 | 3996.617
01.05.2020   | Kuwait               | 2438.003
01.05.2020   | Libya                | 389.334
01.05.2020   | Nigeria              | 1493.226
01.05.2020   | United Arab Emirates | 2778.552
01.05.2020   | Venezuela            | 568.571
01.06.2006   | Algeria              | 1368.83
01.06.2006   | Angola               | 1384.6
01.06.2006   | Congo                | 260.388
01.06.2006   | Equatorial Guinea    | 281.781
01.06.2006   | Gabon                | 227.714
01.06.2006   | IR Iran              | 4072.6
01.06.2006   | Iraq                 | 1957.224687843193
01.06.2006   | Kuwait               | 2664.5
01.06.2006   | Libya                | 1751.186
01.06.2006   | Nigeria              | 2233.884
01.06.2006   | United Arab Emirates | 2568.0
01.06.2006   | Venezuela            | 3035.6
01.06.2007   | Algeria              | 1371.6
01.06.2007   | Angola               | 1694.6
01.06.2007   | Congo                | 219.46
01.06.2007   | Equatorial Guinea    | 296.237
01.06.2007   | Gabon                | 232.467
01.06.2007   | IR Iran              | 4030.7
01.06.2007   | Iraq                 | 2035.244
01.06.2007   | Kuwait               | 2574.5
01.06.2007   | Libya                | 1673.9
01.06.2007   | Nigeria              | 2059.262
01.06.2007   | United Arab Emirates | 2529.0
01.06.2007   | Venezuela            | 2981.923
01.06.2009   | Algeria              | 1216.0
01.06.2009   | Angola               | 1738.884
01.06.2009   | Congo                | 271.763
01.06.2009   | Equatorial Guinea    | 262.488
01.06.2009   | Gabon                | 228.258
01.06.2009   | IR Iran              | 3557.083
01.06.2009   | Iraq                 | 2336.181
01.06.2009   | Kuwait               | 2261.61
01.06.2009   | Libya                | 1473.937
01.06.2009   | Nigeria              | 1841.984
01.06.2009   | United Arab Emirates | 2241.638
01.06.2009   | Venezuela            | 2878.06
01.06.2010   | Algeria              | 1189.839
01.06.2010   | Angola               | 1757.6
01.06.2010   | Congo                | 308.146
01.06.2010   | Equatorial Guinea    | 240.972
01.06.2010   | Gabon                | 241.114
01.06.2010   | IR Iran              | 3544.0
01.06.2010   | Iraq                 | 2358.074
01.06.2010   | Kuwait               | 2312.12
01.06.2010   | Libya                | 1486.605
01.06.2010   | Nigeria              | 2048.269
01.06.2010   | United Arab Emirates | 2323.829
01.06.2010   | Venezuela            | 2853.638
01.06.2011   | Algeria              | 1161.608
01.06.2011   | Angola               | 1618.047
01.06.2011   | Congo                | 289.431
01.06.2011   | Equatorial Guinea    | 228.805
01.06.2011   | Gabon                | 241.32
01.06.2011   | IR Iran              | 3576.0
01.06.2011   | Iraq                 | 2652.625
01.06.2011   | Kuwait               | 2658.69
01.06.2011   | Libya                | 489.456
01.06.2011   | Nigeria              | 1974.808
01.06.2011   | United Arab Emirates | 2564.17
01.06.2011   | Venezuela            | 2880.907
01.06.2012   | Algeria              | 1199.795
01.06.2012   | Angola               | 1704.001
01.06.2012   | Congo                | 262.87
01.06.2012   | Equatorial Guinea    | 247.143
01.06.2012   | Gabon                | 227.255
01.06.2012   | IR Iran              | 3739.751
01.06.2012   | Iraq                 | 2942.407
01.06.2012   | Kuwait               | 2977.56
01.06.2012   | Libya                | 1449.994
01.06.2012   | Nigeria              | 1954.074
01.06.2012   | United Arab Emirates | 2653.0
01.06.2012   | Venezuela            | 2803.93
01.06.2015   | Algeria              | 1157.082
01.06.2015   | Angola               | 1767.068
01.06.2015   | Congo                | 234.136
01.06.2015   | Equatorial Guinea    | 186.789
01.06.2015   | Gabon                | 218.312
01.06.2015   | IR Iran              | 3151.644
01.06.2015   | Iraq                 | 3504.137
01.06.2015   | Kuwait               | 2858.685
01.06.2015   | Libya                | 400.31
01.06.2015   | Nigeria              | 1748.191
01.06.2015   | United Arab Emirates | 2988.885
01.06.2015   | Venezuela            | 2653.871
01.06.2016   | Algeria              | 1146.295
01.06.2016   | Angola               | 1721.62
01.06.2016   | Congo                | 225.008
01.06.2016   | Equatorial Guinea    | 163.205
01.06.2016   | Gabon                | 220.693
